SMILES,prediction_probability
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,0.215
O=C(O)c1ccc(Cl)c(Cl)c1,0.23
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,0.255
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,0.22
C1=CCCC=CCCC=CCC1,0.28
CCOP(=S)(OCC)SCCSCC,0.37
COC(C)(C)C,0.395
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,0.29
CC(C)=C1C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,0.34
COC(=O)C1(Cl)C(Cl)CCC2(C)c3ccc(C(C)C)cc3CCC21,0.4
C=CC1(C)C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,0.36
C=CC1(C)CCC2C(=CCC3C(C)(C(=O)O)CCCC23C)C1,0.36
CC(C)C1=CC2=C(CC1)C1(C)CCCC(C)(C(=O)O)C1CC2,0.36
O=P(OCC(CCl)(CBr)CBr)(OC(CCl)CCl)OC(CCl)CCl,0.38
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.26
c1csc(-c2cccs2)c1,0.365
c1ccncc1,0.19
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,0.25
COP(=S)(OC)Oc1ccc(C#N)cc1,0.395
COc1c(Br)cc(Br)cc1Br,0.37
CCCCCCCCCCCCCOP(Oc1ccccc1)Oc1ccccc1,0.34
CCCC(Cl)CCC(Cl)CC(Cl)C(Cl)CCC(Cl)CCC(Cl)C(Cl)CC(C)Cl,0.36
CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],0.455
BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,0.285
O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)O)c1,0.23
CCOP(=S)(S)OCC,0.37
ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl,0.385
c1ccc2c(c1)ccc1nc3c(ccc4ccccc43)cc12,0.15
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,0.26
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,0.235
OCCOCCOCCO,0.32
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,0.43
FC(F)(F)c1ccc(Cl)c(Cl)c1,0.27
Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,0.11
O=[N+]([O-])c1cc(Cl)cc(Cl)c1,0.255
COP(=S)(OC)Oc1c(Cl)cccc1C#N,0.28
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,0.265
O=[N+]([O-])c1cccc(Cl)c1,0.16
C=CC=O,0.295
CCOC(=O)c1ccccc1C(=O)OCC,0.185
COC(=O)c1ccccc1C(=O)OC,0.18
ClCCCl,0.31
